N,ID,CLASS,REGION
1,RM-0101-0,Healthy,RM
2,RM-0101-1,Healthy,RM
3,RM-0101-2,Healthy,RM
4,RM-0101-3,Healthy,RM
5,RM-0101-4,Healthy,RM
6,RM-0101-5,Healthy,RM
7,RM-0101-6,Healthy,RM
8,RM-0101-7,Healthy,RM
9,RM-0101-8,Healthy,RM
10,RM-0101-9,Healthy,RM
11,RM-0101-10,Healthy,RM
12,RM-0101-11,Healthy,RM
13,RM-0101-12,Healthy,RM
14,RM-0101-13,Healthy,RM
15,RM-0101-14,Healthy,RM
16,RM-0101-15,Healthy,RM
17,RM-0101-16,Healthy,RM
18,RM-0101-17,Healthy,RM
19,RM-0101-18,Healthy,RM
20,RM-0101-19,Healthy,RM
21,RM-0101-20,Healthy,RM
22,RM-0101-21,Healthy,RM
23,RM-0101-22,Healthy,RM
24,RM-0101-23,Healthy,RM
25,RM-0101-24,Healthy,RM
26,RM-0101-25,Healthy,RM
27,RM-0101-26,Healthy,RM
28,RM-0101-27,Healthy,RM
29,RM-0101-28,Healthy,RM
30,RM-0101-29,Healthy,RM
31,RM-0101-30,Healthy,RM
32,RM-0101-31,Healthy,RM
33,RM-0101-32,Healthy,RM
34,RM-0101-33,Healthy,RM
35,RM-0101-34,Healthy,RM
36,RM-0101-35,Healthy,RM
37,RM-0101-36,Healthy,RM
38,RM-0101-37,Healthy,RM
39,RM-0101-38,Healthy,RM
40,RM-0101-39,Healthy,RM
41,RM-0101-40,Healthy,RM
42,RM-0101-41,Healthy,RM
43,RM-0101-42,Healthy,RM
44,RM-0101-43,Healthy,RM
45,RM-0101-44,Healthy,RM
46,RM-0101-45,Healthy,RM
47,RM-0101-46,Healthy,RM
48,RM-0101-47,Healthy,RM
49,RM-0101-48,Healthy,RM
50,RM-0101-49,Healthy,RM
51,RM-0101-50,Healthy,RM
52,RM-0101-51,Healthy,RM
53,RM-0101-52,Healthy,RM
54,RM-0101-53,Healthy,RM
55,RM-0101-54,Healthy,RM
56,RM-0101-55,Healthy,RM
57,RM-0101-56,Healthy,RM
58,RM-0101-57,Healthy,RM
59,RM-0101-58,Healthy,RM
60,RM-0101-59,Healthy,RM
61,RM-0101-60,Healthy,RM
62,RM-0101-61,Healthy,RM
63,RM-0101-62,Healthy,RM
64,RM-0101-63,Healthy,RM
65,RM-0101-64,Healthy,RM
66,RM-0101-65,Healthy,RM
67,RM-0101-66,Healthy,RM
68,RM-0101-67,Healthy,RM
69,RM-0101-68,Healthy,RM
70,RM-0101-69,Healthy,RM
71,RM-0101-70,Healthy,RM
72,RM-0101-71,Healthy,RM
73,RM-0101-72,Healthy,RM
74,RM-0101-73,Healthy,RM
75,RM-0101-74,Healthy,RM
76,RM-0101-75,Healthy,RM
77,RM-0101-76,Healthy,RM
78,RM-0101-77,Healthy,RM
79,RM-0101-78,Healthy,RM
80,RM-0101-79,Healthy,RM
81,RM-0101-80,Healthy,RM
82,RM-0101-81,Healthy,RM
83,RM-0101-82,Healthy,RM
84,RM-0101-83,Healthy,RM
85,RM-0101-84,Healthy,RM
86,RM-0101-85,Healthy,RM
87,RM-0101-86,Healthy,RM
88,RM-0101-87,Healthy,RM
89,RM-0101-88,Healthy,RM
90,RM-0101-89,Healthy,RM
91,RM-0101-90,Healthy,RM
92,RM-0101-91,Healthy,RM
93,RM-0101-92,Healthy,RM
94,RM-0101-93,Healthy,RM
95,RM-0101-94,Healthy,RM
96,RM-0101-95,Healthy,RM
97,RM-0101-96,Healthy,RM
98,RM-0101-97,Healthy,RM
99,RM-0101-98,Healthy,RM
100,RM-0101-99,Healthy,RM
101,RM-0101-100,Healthy,RM
102,RM-0101-101,Healthy,RM
103,RM-0101-102,Healthy,RM
104,RM-0101-103,Healthy,RM
105,RM-0101-104,Healthy,RM
106,RM-0101-105,Healthy,RM
107,RM-0101-106,Healthy,RM
108,RM-0101-107,Healthy,RM
109,RM-0101-108,Healthy,RM
110,RM-0101-109,Healthy,RM
111,RM-0101-110,Healthy,RM
112,RM-0101-111,Healthy,RM
113,RM-0101-112,Healthy,RM
114,RM-0101-113,Healthy,RM
115,RM-0101-114,Healthy,RM
116,RM-0101-115,Healthy,RM
117,RM-0101-116,Healthy,RM
118,RM-0101-117,Healthy,RM
119,RM-0101-118,Healthy,RM
120,RM-0101-119,Healthy,RM
121,RM-0101-120,Healthy,RM
122,RM-0101-121,Healthy,RM
123,RM-0101-122,Healthy,RM
124,RM-0101-123,Healthy,RM
125,RM-0101-124,Healthy,RM
126,RM-0101-125,Healthy,RM
127,RM-0101-126,Healthy,RM
128,RM-0101-127,Healthy,RM
129,RM-0101-128,Healthy,RM
130,RM-0101-129,Healthy,RM
131,RM-0101-130,Healthy,RM
132,RM-0101-131,Healthy,RM
133,RM-0101-132,Healthy,RM
134,RM-0101-133,Healthy,RM
135,RM-0101-134,Healthy,RM
136,RM-0101-135,Healthy,RM
137,RM-0101-136,Healthy,RM
138,RM-0101-137,Healthy,RM
139,RM-0101-138,Healthy,RM
140,RM-0101-139,Healthy,RM
141,RM-0101-140,Healthy,RM
142,RM-0101-141,Healthy,RM
143,RM-0101-142,Healthy,RM
144,RM-0101-143,Healthy,RM
145,RM-0101-144,Healthy,RM
146,RM-0101-145,Healthy,RM
147,RM-0101-146,Healthy,RM
148,RM-0101-147,Healthy,RM
149,RM-0101-148,Healthy,RM
150,RM-0101-149,Healthy,RM
151,RM-0101-150,Healthy,RM
152,RM-0101-151,Healthy,RM
153,RM-0101-152,Healthy,RM
154,RM-0101-153,Healthy,RM
155,RM-0101-154,Healthy,RM
156,RM-0101-155,Healthy,RM
157,RM-0101-156,Healthy,RM
158,RM-0101-157,Healthy,RM
159,RM-0101-158,Healthy,RM
160,RM-0101-159,Healthy,RM
161,RM-0101-160,Healthy,RM
162,RM-0101-161,Healthy,RM
163,RM-0101-162,Healthy,RM
164,RM-0101-163,Healthy,RM
165,RM-0101-164,Healthy,RM
166,RM-0101-165,Healthy,RM
167,RM-0101-166,Healthy,RM
168,RM-0101-167,Healthy,RM
169,RM-0101-168,Healthy,RM
170,RM-0101-169,Healthy,RM
171,RM-0101-170,Healthy,RM
172,RM-0101-171,Healthy,RM
173,RM-0101-172,Healthy,RM
174,RM-0101-173,Healthy,RM
175,RM-0101-174,Healthy,RM
176,RM-0101-175,Healthy,RM
177,RM-0101-176,Healthy,RM
178,RM-0101-177,Healthy,RM
179,RM-0101-178,Healthy,RM
180,RM-0101-179,Healthy,RM
181,RM-0101-180,Healthy,RM
182,RM-0101-181,Healthy,RM
183,RM-0101-182,Healthy,RM
184,RM-0101-183,Healthy,RM
185,RM-0101-184,Healthy,RM
186,RM-0101-185,Healthy,RM
187,RM-0101-186,Healthy,RM
188,RM-0101-187,Healthy,RM
189,RM-0101-188,Healthy,RM
190,RM-0101-189,Healthy,RM
191,RM-0101-190,Healthy,RM
192,RM-0101-191,Healthy,RM
193,RM-0101-192,Healthy,RM
194,RM-0101-193,Healthy,RM
195,RM-0101-194,Healthy,RM
196,RM-0101-195,Healthy,RM
197,RM-0101-196,Healthy,RM
198,RM-0101-197,Healthy,RM
199,RM-0101-198,Healthy,RM
200,RM-0101-199,Healthy,RM
201,RM-0101-200,Healthy,RM
202,RM-0101-201,Healthy,RM
203,RM-0101-202,Healthy,RM
204,RM-0101-203,Healthy,RM
205,RM-0101-204,Healthy,RM
206,RM-0101-205,Healthy,RM
207,RM-0101-206,Healthy,RM
208,RM-0101-207,Healthy,RM
209,RM-0101-208,Healthy,RM
210,RM-0101-209,Healthy,RM
211,RM-0101-210,Healthy,RM
212,RM-0101-211,Healthy,RM
213,RM-0101-212,Healthy,RM
214,RM-0101-213,Healthy,RM
215,RM-0101-214,Healthy,RM
216,RM-0101-215,Healthy,RM
217,RM-0101-216,Healthy,RM
218,RM-0101-217,Healthy,RM
219,RM-0101-218,Healthy,RM
220,RM-0101-219,Healthy,RM
221,RM-0101-220,Healthy,RM
222,RM-0101-221,Healthy,RM
223,RM-0101-222,Healthy,RM
224,RM-0101-223,Healthy,RM
225,RM-0101-224,Healthy,RM
226,RM-0101-225,Healthy,RM
227,RM-0101-226,Healthy,RM
228,RM-0101-227,Healthy,RM
229,RM-0101-228,Healthy,RM
230,RM-0101-229,Healthy,RM
231,RM-0101-230,Healthy,RM
232,RM-0101-231,Healthy,RM
233,RM-0101-232,Healthy,RM
234,RM-0101-233,Healthy,RM
235,RM-0101-234,Healthy,RM
236,RM-0101-235,Healthy,RM
237,RM-0101-236,Healthy,RM
238,RM-0101-237,Healthy,RM
239,RM-0101-238,Healthy,RM
240,RM-0101-239,Healthy,RM
241,RM-0101-240,Healthy,RM
242,RM-0101-241,Healthy,RM
243,RM-0101-242,Healthy,RM
244,RM-0101-243,Healthy,RM
245,RM-0101-244,Healthy,RM
246,RM-0101-245,Healthy,RM
247,RM-0101-246,Healthy,RM
248,RM-0101-247,Healthy,RM
249,RM-0101-248,Healthy,RM
250,RM-0101-249,Healthy,RM
251,RM-0101-250,Healthy,RM
252,RM-0101-251,Healthy,RM
253,RM-0101-252,Healthy,RM
254,RM-0101-253,Healthy,RM
255,RM-0101-254,Healthy,RM
256,RM-0101-255,Healthy,RM
257,RM-0101-256,Healthy,RM
258,RM-0101-257,Healthy,RM
259,RM-0101-258,Healthy,RM
260,RM-0101-259,Healthy,RM
261,RM-0101-260,Healthy,RM
262,RM-0101-261,Healthy,RM
263,RM-0101-262,Healthy,RM
264,RM-0101-263,Healthy,RM
265,RM-0101-264,Healthy,RM
266,RM-0101-265,Healthy,RM
267,RM-0101-266,Healthy,RM
268,RM-0101-267,Healthy,RM
269,RM-0101-268,Healthy,RM
270,RM-0101-269,Healthy,RM
271,RM-0101-270,Healthy,RM
272,RM-0101-271,Healthy,RM
273,RM-0101-272,Healthy,RM
274,RM-0101-273,Healthy,RM
275,RM-0101-274,Healthy,RM
276,RM-0101-275,Healthy,RM
277,RM-0101-276,Healthy,RM
278,RM-0101-277,Healthy,RM
279,RM-0101-278,Healthy,RM
280,RM-0101-279,Healthy,RM
281,RM-0101-280,Healthy,RM
282,RM-0101-281,Healthy,RM
283,RM-0101-282,Healthy,RM
284,RM-0101-283,Healthy,RM
285,RM-0101-284,Healthy,RM
286,RM-0101-285,Healthy,RM
287,RM-0101-286,Healthy,RM
288,RM-0101-287,Healthy,RM
289,RM-0101-288,Healthy,RM
290,RM-0101-289,Healthy,RM
291,RM-0101-290,Healthy,RM
292,RM-0101-291,Healthy,RM
293,RM-0101-292,Healthy,RM
294,RM-0101-293,Healthy,RM
295,RM-0101-294,Healthy,RM
296,RM-0101-295,Healthy,RM
297,RM-0101-296,Healthy,RM
298,RM-0101-297,Healthy,RM
299,RM-0101-298,Healthy,RM
300,RM-0101-299,Healthy,RM
301,RM-0101-300,Healthy,RM
302,RM-0101-301,Healthy,RM
303,RM-0101-302,Healthy,RM
304,RM-0101-303,Healthy,RM
305,RM-0101-304,Healthy,RM
306,RM-0101-305,Healthy,RM
307,RM-0101-306,Healthy,RM
308,RM-0101-307,Healthy,RM
309,RM-0101-308,Healthy,RM
310,RM-0101-309,Healthy,RM
311,RM-0101-310,Healthy,RM
